series	episode	title	word_count	file	source_file
The Other Russian	012	welcome to a new episode of the other Russian and today I'm finally going to talk about the patriarchy that book that I showed you twice I'm gonna go	6479	posts/the-other-russian/EP012-welcome-to-a-new-episode-of-the-other-Russian-and-today-Im-f.md	Vlad's podcast. Episode 12.pdf
The Other Russian	013	hello and welcome to a new episode of the other Russian they are going to talk about psychedelics and yeah here's the process of making the episode	3579	posts/the-other-russian/EP013-hello-and-welcome-to-a-new-episode-of-the-other-Russian-they.md	Vlad's podcast. Episode 13.pdf
The Other Russian	014	welcome to a new episode of the other Russian so today I am going to finally dig into that trip to Amsterdam that I mentioned to you at some point in	5227	posts/the-other-russian/EP014-welcome-to-a-new-episode-of-the-other-Russian-so-today-I-am.md	Vlad's podcast. Episode 14.pdf
The Other Russian	015	welcome to a new episode of the other Russian so today what am I going to talk about I have some thoughts hmm I'm there's this thunderstorm happening	5569	posts/the-other-russian/EP015-welcome-to-a-new-episode-of-the-other-Russian-so-today-what.md	Vlad's podcast. Episode 15.pdf
The Other Russian	016	welcome to a new episode of the other Russian so today I'm going to talk to you about brand strategy out of all the topics and yeah who would have	4966	posts/the-other-russian/EP016-welcome-to-a-new-episode-of-the-other-Russian-so-today-Im-go.md	Vlad's podcast. Episode 16.pdf
The Other Russian	017	welcome to a new episode of the other Russian and today as you've already discovered I'm going to talk to you about the art of negotiation so I'm	5130	posts/the-other-russian/EP017-welcome-to-a-new-episode-of-the-other-Russian-and-today-as-y.md	Vlad's podcast. Episode 17.pdf
The Other Russian	018	welcome to a new episode of the other Russian and today I start this episode with this fine peaceful equipment that my wife gave me to my birthday	5150	posts/the-other-russian/EP018-welcome-to-a-new-episode-of-the-other-Russian-and-today-I-st.md	Vlad's podcast. Episode 18.pdf
The Other Russian	019	hello and welcome to a new episode of the other Russian as I continue the experiment with the microphone and supposedly just supposedly because I	5739	posts/the-other-russian/EP019-hello-and-welcome-to-a-new-episode-of-the-other-Russian-as-I.md	Vlad's podcast. Episode 19.pdf
The Other Russian	020	hello and welcome to a new episode of the other Russian and today I'm going to talk to you about sustainability right so yeah I haven't come up with	4822	posts/the-other-russian/EP020-hello-and-welcome-to-a-new-episode-of-the-other-Russian-and.md	Vlad's podcast. Episode 20.pdf
The Other Russian	021	hello and welcome to a new episode of the Other Russia I simply cannot believe that this is an episode No. 21 and even though we're well actually but	6145	posts/the-other-russian/EP021-hello-and-welcome-to-a-new-episode-of-the-Other-Russia-I-sim.md	Vlad's podcast. Episode 21.pdf
The Other Russian	022	hello and welcome to a new episode of the other Russian and today I'm going to talk to you about male ego well since I'm a male cisgender	5489	posts/the-other-russian/EP022-hello-and-welcome-to-a-new-episode-of-the-other-Russian-and.md	Vlad's podcast. Episode 22.pdf
The Other Russian	023	hello and welcome to a new episode of The Other Rush and today I'm going to talk to you about feedback and it's importance for business and people	6191	posts/the-other-russian/EP023-hello-and-welcome-to-a-new-episode-of-The-Other-Rush-and-tod.md	Vlad's podcast. Episode 23.pdf
The Other Russian	024	hello and welcome to a new episode of the Other Russian I'm still doing this shit yeah and finally I've identified the topic that I'm going to talk	2116	posts/the-other-russian/EP024-hello-and-welcome-to-a-new-episode-of-the-Other-Russian-Im-s.md	Vlad's podcast. Episode 24.pdf
Энтеогенный Ренессанс (main show)	001	Бэд трип	3748	posts/entheogenic-renaissance/EP001-Бэд-трип.md	EP01. Бэд трип.pdf
Энтеогенный Ренессанс (main show)	002	Энтеогены	1351	posts/entheogenic-renaissance/EP002-Энтеогены.md	EP02. Энтеогены .pdf
Энтеогенный Ренессанс (main show)	003	протоколы	2490	posts/entheogenic-renaissance/EP003-протоколы.md	EP03. протоколы.pdf
Энтеогенный Ренессанс (main show)	004	История	1764	posts/entheogenic-renaissance/EP004-История.md	EP04. История.pdf
Энтеогенный Ренессанс (main show)	005	Волшебные грибы	1869	posts/entheogenic-renaissance/EP005-Волшебные-грибы.md	EP05. Волшебные грибы.pdf
Энтеогенный Ренессанс (main show)	007	добро пожаловать в новый эпизод психоделического бизнеса сегодня я поговорю про Айос и это 1 из тех интегенов о которых не так много информации в	2260	posts/entheogenic-renaissance/EP007-добро-пожаловать-в-новый-эпизод-психоделического-бизнеса-сег.md	EP07.pdf
Энтеогенный Ренессанс (main show)	008	Мескалин	2355	posts/entheogenic-renaissance/EP008-Мескалин.md	EP08. Мескалин.pdf
Энтеогенный Ренессанс (main show)	009	добро пожаловать в новый выпуск психодолического ренессанса в этом выпуске я поговорю с вами про терапию причина по которой я решил сегодня	4130	posts/entheogenic-renaissance/EP009-добро-пожаловать-в-новый-выпуск-психодолического-ренессанса.md	EP09.pdf
Энтеогенный Ренессанс (main show)	010	Кетамин	2813	posts/entheogenic-renaissance/EP010-Кетамин.md	EP10. Кетамин .pdf
Энтеогенный Ренессанс (main show)	011	добро пожаловать в новый эпизод психодолического ренессанса в этом эпизоде я поговорю с вами про микродозинг против макродози ну на всякий случай	3229	posts/entheogenic-renaissance/EP011-добро-пожаловать-в-новый-эпизод-психодолического-ренессанса.md	EP11.pdf
Энтеогенный Ренессанс (main show)	012	Мифы	2055	posts/entheogenic-renaissance/EP012-Мифы.md	EP12. Мифы.pdf
Энтеогенный Ренессанс (main show)	013	Конопля	2556	posts/entheogenic-renaissance/EP013-Конопля.md	EP13. Конопля.pdf
Энтеогенный Ренессанс (main show)	014	добро пожаловать в новый выпуск психоделического ренессанса в этом выпуске я поговорю про матушку земельку хе хе что если я вам скажу что энтеогены	2490	posts/entheogenic-renaissance/EP014-добро-пожаловать-в-новый-выпуск-психоделического-ренессанса.md	EP14.pdf
Энтеогенный Ренессанс (main show)	015	представьте себе мир в котором построматическое расстройство лечится при помощи клубного наркотика экстази да чё тут представлять 18 000 000 людей в	2989	posts/entheogenic-renaissance/EP015-представьте-себе-мир-в-котором-построматическое-расстройство.md	EP15.pdf
Энтеогенный Ренессанс (main show)	016	добро пожаловать в новый выпуск психоделического ренессанса в этом выпуске я поговорю про психоделики ментальное здоровье и уроки из 50 с лишним	3227	posts/entheogenic-renaissance/EP016-добро-пожаловать-в-новый-выпуск-психоделического-ренессанса.md	EP16.pdf
Энтеогенный Ренессанс (main show)	017	Безопасность	2331	posts/entheogenic-renaissance/EP017-Безопасность.md	EP17. Безопасность.pdf
Энтеогенный Ренессанс (main show)	018	Випассана	2849	posts/entheogenic-renaissance/EP018-Випассана.md	EP18. Випассана.pdf
Энтеогенный Ренессанс (main show)	019	Конец войны против наркотиков	3433	posts/entheogenic-renaissance/EP019-Конец-воины-против-наркотиков.md	EP19. Конец войны против наркотиков.pdf
Энтеогенный Ренессанс (main show)	020	Алкоголь	2713	posts/entheogenic-renaissance/EP020-Алкоголь.md	EP20.-Алкоголь.pdf
Энтеогенный Ренессанс (main show)	021	Стигма	3081	posts/entheogenic-renaissance/EP021-Стигма.md	EP21.-Стигма.pdf
Энтеогенный Ренессанс (main show)	022	Интеграция	3364	posts/entheogenic-renaissance/EP022-Интеграция.md	EP22.-Интеграция.pdf
Энтеогенный Ренессанс (main show)	023	Согласие	2434	posts/entheogenic-renaissance/EP023-Согласие.md	EP23.-Согласие.pdf
Энтеогенный Ренессанс (main show)	024	Red-flags	1965	posts/entheogenic-renaissance/EP024-Red-flags.md	EP24.-Red-flags.pdf
Энтеогенный Ренессанс (main show)	025	Дестигматизация-языка	1876	posts/entheogenic-renaissance/EP025-Дестигматизация-языка.md	EP25.-Дестигматизация-языка.pdf
Энтеогенный Ренессанс (main show)	026	Самостоятельный-трип	2307	posts/entheogenic-renaissance/EP026-Самостоятельныи-трип.md	EP26. Самостоятельный-трип.pdf
Энтеогенный Ренессанс (main show)	027	Ментальное-здоровье	3625	posts/entheogenic-renaissance/EP027-Ментальное-здоровье.md	EP27. Ментальное-здоровье.pdf
Энтеогенный Ренессанс (main show)	028	Гроф	3235	posts/entheogenic-renaissance/EP028-Гроф.md	EP28. Гроф.pdf
Энтеогенный Ренессанс (main show)	029	Социальный эксперимент	2523	posts/entheogenic-renaissance/EP029-Социальныи-эксперимент.md	EP29. Социальный эксперимент.pdf
Энтеогенный Ренессанс (main show)	030	ICPR	5739	posts/entheogenic-renaissance/EP030-ICPR.md	EP30. ICPR.pdf
Энтеогенный Ренессанс (main show)	031	ДМТ	2834	posts/entheogenic-renaissance/EP031-ДМТ.md	EP31. ДМТ.pdf
Энтеогенный Ренессанс (main show)	032	Ибогаин	2364	posts/entheogenic-renaissance/EP032-Ибогаин.md	EP32. Ибогаин.pdf
Энтеогенный Ренессанс (main show)	033	Двойные-стандарты	3633	posts/entheogenic-renaissance/EP033-Двоиные-стандарты.md	EP33. Двойные-стандарты.pdf
Энтеогенный Ренессанс (main show)	034	Метапластичность	2186	posts/entheogenic-renaissance/EP034-Метапластичность.md	EP34. Метапластичность.pdf
Энтеогенный Ренессанс (main show)	035	Путь-к-исцелению	4925	posts/entheogenic-renaissance/EP035-Путь-к-исцелению.md	EP35.-Путь-к-исцелению.pdf
Энтеогенный Ренессанс (main show)	036	Многопоколенческая-травма	4544	posts/entheogenic-renaissance/EP036-Многопоколенческая-травма.md	EP36. Многопоколенческая-травма.pdf
Энтеогенный Ренессанс (main show)	037	Намерение	3249	posts/entheogenic-renaissance/EP037-Намерение.md	EP37. Намерение.pdf
Энтеогенный Ренессанс (main show)	038	Самолечение	3605	posts/entheogenic-renaissance/EP038-Самолечение.md	EP38. Самолечение.pdf
Энтеогенный Ренессанс (main show)	039	Дезинформация	3402	posts/entheogenic-renaissance/EP039-Дезинформация.md	EP39. Дезинформация.pdf
Энтеогенный Ренессанс (main show)	040	Капитуляция	4758	posts/entheogenic-renaissance/EP040-Капитуляция.md	EP40. Капитуляция.pdf
Энтеогенный Ренессанс (main show)	041	Как остановить сложный трип	2377	posts/entheogenic-renaissance/EP041-Как-остановить-сложныи-трип.md	EP41. Как остановить сложный трип.pdf
Энтеогенный Ренессанс (main show)	042	Ключ к бессмертию	2220	posts/entheogenic-renaissance/EP042-Ключ-к-бессмертию.md	EP42. Ключ к бессмертию.pdf
Энтеогенный Ренессанс (main show)	043	Сложности интеграции	2602	posts/entheogenic-renaissance/EP043-Сложности-интеграции.md	EP43. Сложности интеграции.pdf
Энтеогенный Ренессанс (main show)	044	С широко закрытыми глазами	2706	posts/entheogenic-renaissance/EP044-С-широко-закрытыми-глазами.md	EP44. С широко закрытыми глазами.pdf
Энтеогенный Ренессанс (main show)	045	Обстановка	2868	posts/entheogenic-renaissance/EP045-Обстановка.md	EP45. Обстановка.pdf
Энтеогенный Ренессанс (main show)	046	Швейцарское событие	1342	posts/entheogenic-renaissance/EP046-Швеицарское-событие.md	EP46. Швейцарское событие.pdf
Энтеогенный Ренессанс (main show)	047	Настрой	2348	posts/entheogenic-renaissance/EP047-Настрои.md	EP47. Настрой.pdf
Энтеогенный Ренессанс (main show)	048	Дом Хофмана	2797	posts/entheogenic-renaissance/EP048-Дом-Хофмана.md	EP48. Дом Хофмана.pdf
Энтеогенный Ренессанс (main show)	049	Травма и ментальные болезни	1994	posts/entheogenic-renaissance/EP049-Травма-и-ментальные-болезни.md	EP49. Травма и ментальные болезни.pdf
Энтеогенный Ренессанс (main show)	050	А есть ли травма	1929	posts/entheogenic-renaissance/EP050-А-есть-ли-травма.md	EP50. А есть ли травма.pdf
Энтеогенный Ренессанс (main show)	051	Травмы и болезни	3302	posts/entheogenic-renaissance/EP051-Травмы-и-болезни.md	EP51. Травмы и болезни.pdf
Энтеогенный Ренессанс (main show)	052	Установки	3650	posts/entheogenic-renaissance/EP052-Установки.md	EP52. Установки.pdf
Энтеогенный Ренессанс (main show)	053	Выгорание	4009	posts/entheogenic-renaissance/EP053-Выгорание.md	EP53. Выгорание.pdf
Энтеогенный Ренессанс (main show)	054	Сущности	4123	posts/entheogenic-renaissance/EP054-Сущности.md	EP54. Сущности.pdf
Энтеогенный Ренессанс (main show)	055	Неудобная правда	4163	posts/entheogenic-renaissance/EP055-Неудобная-правда.md	EP55. Неудобная правда.pdf
Энтеогенный Ренессанс (main show)	056	Снижение Вреда	3544	posts/entheogenic-renaissance/EP056-Снижение-Вреда.md	EP56. Снижение Вреда.pdf
Энтеогенный Ренессанс (main show)	057	Bad Trip copy	3841	posts/entheogenic-renaissance/EP057-Bad-Trip-copy.md	EP57. Bad Trip copy.pdf
Энтеогенный Ренессанс (main show)	057	Bad Trip	3841	posts/entheogenic-renaissance/EP057-Bad-Trip.md	EP57. Bad Trip.pdf
Энтеогенный Ренессанс (main show)	058	Ситтер	5043	posts/entheogenic-renaissance/EP058-Ситтер.md	EP58. Ситтер.pdf
Энтеогенный Ренессанс (main show)	059	Плацебо	5055	posts/entheogenic-renaissance/EP059-Плацебо.md	EP59. Плацебо.pdf
Энтеогенный Ренессанс (main show)	060	Терапия с веществами	3577	posts/entheogenic-renaissance/EP060-Терапия-с-веществами.md	EP60. Терапия с веществами.pdf
Энтеогенный Ренессанс (main show)	061	Тёмная сторона энтеогенов	3029	posts/entheogenic-renaissance/EP061-Темная-сторона-энтеогенов.md	EP61. Тёмная сторона энтеогенов.pdf
Энтеогенный Ренессанс (main show)	062	Психоделический Коучинг	3910	posts/entheogenic-renaissance/EP062-Психоделическии-Коучинг.md	EP62. Психоделический Коучинг.pdf
Энтеогенный Ренессанс (main show)	063	Пиллшейминг	2043	posts/entheogenic-renaissance/EP063-Пиллшеиминг.md	EP63. Пиллшейминг.pdf
Энтеогенный Ренессанс (main show)	064	Духовный обход	2990	posts/entheogenic-renaissance/EP064-Духовныи-обход.md	EP64. Духовный обход..pdf
Энтеогенный Ренессанс (main show)	065	Болезнь Бехтерева	2968	posts/entheogenic-renaissance/EP065-Болезнь-Бехтерева.md	EP65. Болезнь Бехтерева.pdf
Энтеогенный Ренессанс (main show)	066	Как начать изменения	2815	posts/entheogenic-renaissance/EP066-Как-начать-изменения.md	EP66. Как начать изменения.pdf
Энтеогенный Ренессанс (main show)	068	Зависимость	3267	posts/entheogenic-renaissance/EP068-Зависимость.md	EP68. Зависимость.pdf
Энтеогенный Ренессанс (main show)	069	Страх психоделиков	3141	posts/entheogenic-renaissance/EP069-Страх-психоделиков.md	EP69. Страх психоделиков.pdf
Энтеогенный Ренессанс (main show)	070	O!Sapiens	3511	posts/entheogenic-renaissance/EP070-OSapiens.md	EP70. O!Sapiens.pdf
Энтеогенный Ренессанс (main show)	071	Химический Дисбаланс	2513	posts/entheogenic-renaissance/EP071-Химическии-Дисбаланс.md	EP 71. Химический Дисбаланс.pdf
Энтеогенный Ренессанс (main show)	077	Вилл Смит	3272	posts/entheogenic-renaissance/EP077-Вилл-Смит.md	EP77. Вилл Смит.pdf
Энтеогенный Ренессанс (main show)	079	Как готовиться к рертиту	3270	posts/entheogenic-renaissance/EP079-Как-готовиться-к-рертиту.md	EP79. Как готовиться к рертиту.pdf
Энтеогенный Ренессанс (main show)	080	Новая глава	4006	posts/entheogenic-renaissance/EP080-Новая-глава.md	EP80. Новая глава.pdf
Энтеогенный Ренессанс (main show)	081	Что дальше	2059	posts/entheogenic-renaissance/EP081-Что-дальше.md	EP81. Что дальше.pdf
Энтеогенный Ренессанс (main show)	082	Biohacking	4095	posts/entheogenic-renaissance/EP082-Biohacking.md	EP 82. Biohacking.pdf
Энтеогенный Ренессанс (main show)	083	двадцать три года моя правая ладошка издавала один и тот же звук но после одного опыта она замолчала и это не магия это история про то как я посетил	9180	posts/entheogenic-renaissance/EP083-двадцать-три-года-моя-правая-ладошка-издавала-один-и-тот-же.md	EP 83.pdf
Энтеогенный Ренессанс (main show)	084	Интегрируем	2000	posts/entheogenic-renaissance/EP084-Интегрируем.md	EP 84. Интегрируем.pdf
Энтеогенный Ренессанс (main show)	085	Улетела кукушка	1372	posts/entheogenic-renaissance/EP085-Улетела-кукушка.md	EP 85. Улетела кукушка.pdf
Энтеогенный Ренессанс (main show)	086	Индоктринация	2100	posts/entheogenic-renaissance/EP086-Индоктринация.md	EP 86. Индоктринация.pdf
Энтеогенный Ренессанс (main show)	087	Изменения	2065	posts/entheogenic-renaissance/EP087-Изменения.md	EP 87. Изменения.pdf
Энтеогенный Ренессанс (main show)	090	Группа интеграции	1901	posts/entheogenic-renaissance/EP090-Группа-интеграции.md	EP 90. Группа интеграции.pdf
Энтеогенный Ренессанс (main show)	091	Выйти из Сансары	2876	posts/entheogenic-renaissance/EP091-Выити-из-Сансары.md	EP 91. Выйти из Сансары.pdf
Энтеогенный Ренессанс (main show)	093	Волшебная таблетка	2066	posts/entheogenic-renaissance/EP093-Волшебная-таблетка.md	EP 93. Волшебная таблетка.pdf
Энтеогенный Ренессанс (main show)	095	Как уйти в ремисстию	2413	posts/entheogenic-renaissance/EP095-Как-уити-в-ремисстию.md	EP 95. Как уйти в ремисстию.pdf
Энтеогенный Ренессанс (main show)	096	Скрининг	2362	posts/entheogenic-renaissance/EP096-Скрининг.md	EP 96. Скрининг.pdf
Энтеогенный Ренессанс (main show)	099	Последствия	3149	posts/entheogenic-renaissance/EP099-Последствия.md	EP 99. Последствия.pdf
Энтеогенный Ренессанс (main show)	100	Опасные люди	2802	posts/entheogenic-renaissance/EP100-Опасные-люди.md	EP 100. Опасные люди.pdf
Энтеогенный Ренессанс (main show)	101	Обдолбанная обехъяна	2032	posts/entheogenic-renaissance/EP101-Обдолбанная-обехъяна.md	EP 101. Обдолбанная обехъяна.pdf
Энтеогенный Ренессанс (main show)	102	Приходи поговорить	2164	posts/entheogenic-renaissance/EP102-Приходи-поговорить.md	EP 102Приходи поговорить.pdf
Энтеогенный Ренессанс (main show)	103	Нейропластичность	2474	posts/entheogenic-renaissance/EP103-Неиропластичность.md	EP 103. Нейропластичность.pdf
Энтеогенный Ренессанс (main show)	104	ПАВ или Наркотики	2676	posts/entheogenic-renaissance/EP104-ПАВ-или-Наркотики.md	EP 104. ПАВ или Наркотики.pdf
Энтеогенный Ренессанс (main show)	105	Раздутое ЭГО	3367	posts/entheogenic-renaissance/EP105-Раздутое-ЭГО.md	EP 105. Раздутое ЭГО.pdf
Энтеогенный Ренессанс (main show)	106	Трамп и психоделики	2740	posts/entheogenic-renaissance/EP106-Трамп-и-психоделики.md	EP 106. Трамп и психоделики.pdf
Энтеогенный Ренессанс (main show)	107	МДМА в клубе	4429	posts/entheogenic-renaissance/EP107-МДМА-в-клубе.md	EP 107. МДМА в клубе.pdf
Энтеогенный Ренессанс (main show)	108	Реальные причины запрета	2891	posts/entheogenic-renaissance/EP108-Реальные-причины-запрета.md	EP108. Реальные причины запрета.pdf
Энтеогенный Ренессанс (main show)	109	TRYP Expo	3712	posts/entheogenic-renaissance/EP109-TRYP-Expo.md	EP 109. TRYP Expo.pdf
Энтеогенный Ренессанс (main show)	110	База данных	4055	posts/entheogenic-renaissance/EP110-База-данных.md	EP 110. База данных.pdf
Энтеогенный Ренессанс (main show)	unk	0102	1975	posts/entheogenic-renaissance/EPunk-0102.md	0102.pdf
Энтеогенный Ренессанс (main show)	unk	Biohacking	4095	posts/entheogenic-renaissance/EPunk-Biohacking.md	Biohacking.pdf
Энтеогенный Ренессанс (main show)	unk	Sapiens OS. Дисфунцкиональное общество	3452	posts/entheogenic-renaissance/EPunk-Sapiens-OS-Дисфунцкиональное-общество.md	Sapiens OS. Дисфунцкиональное общество.pdf
Энтеогенный Ренессанс (main show)	unk	Как внедрять привычки	1334	posts/entheogenic-renaissance/EPunk-Как-внедрять-привычки.md	Как внедрять привычки.pdf
Энтеогенный Ренессанс (main show)	unk	Стрим. Результаты количественного исследования	14654	posts/entheogenic-renaissance/EPunk-Стрим-Результаты-количественного-исследования.md	Стрим. Результаты количественного исследования.pdf
