sha256	title_inferred	language_provisional	edition_hint	year_hint	authority_provisional	bibliographic_review	completeness_provisional	extraction_status
10f94f73c7a96a509b0704d3d8e7cbf089e222d8b05e70920a2162a8b9a0faab	Connect: The Secret LinkedIn Playbook to Generate Leads, Build Relationships, and Dramatically Increase Your Sales	en	First edition	2015	commercial practitioner LinkedIn lead-generation playbook	confirmed	complete	complete
469f144aa3e9e41dbad1332c98b9d2a7688396e934400f93ef422779445c796b	Brand Relevance: Making Competitors Irrelevant	en	First edition	2011	foundational practitioner-academic brand strategy framework	confirmed	complete	complete
5444f220056fe10cb05648772115109288dc0fa595bd991738e9bde28670df19	Brand Leadership	en	First edition	2000	foundational practitioner-academic brand leadership framework	confirmed	complete	complete
1b05e63fda2f4eee00d4eef956c7a6255d8e9f4b04420cc672e8244aebd3dec5	Brand Portfolio Strategy: Creating Relevance, Differentiation, Energy, Leverage, and Clarity	en	First edition	2004	foundational practitioner-academic brand portfolio framework	confirmed	complete	complete
366b8100d5d9610f4c5440024ac5e42b557c4c7e2897c45fd426d89b7815b5ab	Aaker on Branding: 20 Principles That Drive Success	en	First edition	2014	foundational practitioner-academic branding synthesis	confirmed	complete	complete
0e7ccb59cbf4026bd83b6535288a16d94fb9c76e2b3570945603cb3051a7e4fe	Managing Brand Equity: Capitalizing on the Value of a Brand Name	en	First edition	1991	foundational practitioner-academic brand equity framework	confirmed	complete	complete
1cdbcafcc1db21bc2f502f1e6a9de4a4d38c5e8d64a7dcc39a64ef16d76b12e7	Strategic Market Management: Global Perspectives	en	Global Perspectives special edition; 2014 reprint	2010	expert practitioner-academic strategic marketing text	confirmed	complete	complete
7f98ce140e5f2ff1df851e9ad01d7000e1ac28aeb9a3cf73690f21443f888c3a	Creating Signature Stories: Strategic Messaging That Energizes, Persuades and Inspires	en	First edition	2018	research-informed practitioner brand storytelling framework	confirmed	complete	complete
f48c0d9eccdfaa030f44c2c3d3c0aed31daac73dec3f2e31e740b1dbd00f7cc7	The Future of Purpose-Driven Branding: Signature Programs That Impact & Inspire Both Business and Society	en	First edition	2023	research-informed practitioner purpose branding framework	confirmed	complete	complete
4f0486337c570f90cfe5cdd7a83d1bbf42c6f80c15b0effa4c963cc3917dd470	How Brands Become Icons: The Principles of Cultural Branding	en	First edition	2004	foundational academic cultural branding theory	confirmed	complete	complete
e3812ab58251468e7f2811da8991ee9e9363f6f1494c7d4b7f364c0a598775d1	What Great Brands Do: The Seven Brand-Building Principles That Separate the Best from the Rest	en	First edition	2014	practitioner brand operating framework	confirmed	complete	complete
a5a341a5d41cacec42a69e2d8caf8e0a8862dda1e93e6f9d51f2d08bf1182245	The 22 Immutable Laws of Branding: How to Build a Product or Service into a World-Class Brand	en	Combined PerfectBound/MS Reader edition	2002	classic practitioner branding framework	confirmed	complete	complete
0aa96859609b73ba3977f13c66aee35e3c534a53821ae3e65afdabdc425bdcf5	Focus: The Future of Your Company Depends on It	en	First-edition-era text	1996	classic practitioner focus framework	confirmed	complete-with-missing-copyright-page	complete
b472af5fce1e0d485a4d3b354414cdae217c45d548eccf71396ad999f4274253	Marketing Warfare	en	Original text with 1998 preface	1986	classic practitioner competitive marketing framework	confirmed	complete	complete
341e26d1d743150a3e21efa7a8a14db495a233fc54899865d2ffd99690f18d8a	FANATIC — Лекции 1–18	ru	Compiled 2022 course transcript	2022	primary internal practitioner course transcript	confirmed	complete-with-transcription-and-repetition-caveats	complete
7a890b2c3d08292431d7cd5ec6f87721beb0b75687db16dcfe05f6cef19b2b1a	Crush It on LinkedIn: Build Your Brand, Get Hired & Expand Your Business	en	First self-published ebook	2020	early-career practitioner LinkedIn ebook	confirmed	complete	complete
e0196422da3e98dbd886fefed114cf65791e66e09af7f8e99120529dc18d7b30	LinkedIn for Network Marketing: How to Unleash the Power of LinkedIn to Build Your Network Marketing Business	en	First edition	2019	commercial network-marketing sales manual	confirmed	complete	complete
554888dea32221c02a9c6f539972dab26ab933640122defb1b1f05b508332212	LinkedIn Personal Branding and Marketing: The Complete Learning Guide to Building Your Personal Brand and Marketing on LinkedIn	en	First edition	2023	low-authority compiled practitioner guide	confirmed	complete	complete
56ced4054bcf99a4fbe76adbc92ae283546bcb74221f60714c15babf6234884f	Network Marketing for Your Hometown	en	First edition	2019	commercial network-marketing sales manual	confirmed	complete	complete
8817518840e3137db101d4fd04b2f6c91e810e69173129e198c139a6dddcc72e	The B2B Social Media Book: Become a Marketing Superstar by Generating Leads with Blogging, LinkedIn, Twitter, Facebook, E-Mail, and More	en	First edition	2012	established practitioner B2B marketing manual	confirmed	complete	complete
31968bcee983d876b65d468f936b34abf0d27682cde870c2603e294b4be334e0	365 Social Media Tips: A Year of Ideas for Marketing Your Business via LinkedIn, Twitter, Facebook and More!	en	First edition	2012	early social-media practitioner tipbook	confirmed	complete	complete
79e117f1d700948468859ec7ed997d112b0fae1d1ee0b03b5055288256dfe646	500 Social Media Marketing Tips: Essential Advice, Hints and Strategy for Business	en	December 2015 edition	2015	commercial practitioner social-media manual	confirmed	complete	complete
aaf60795fffb1b00137b3a5e06ab131a08c83d323ef2fd0a78a0b63d5289d338	Turning Your Business into a Success Monster: The LinkedIn B2B Lead Generation Revolution	en	First edition	2022	commercial practitioner B2B LinkedIn manual	confirmed	complete	complete
d14716dd9a407b833d41fdd41969af5ecc3e5235851e90adf72a7eff35b12dd0	Business Gold: Build Awareness, Authority, and Advantage with LinkedIn Company Pages	en	First edition	2021	specialist practitioner LinkedIn company-page manual	confirmed	complete	complete
caaf78cf0e3c69c5d9533e9620e39c13dd5f6a389511cb306444064cdf054a01	Ca$hing In on LinkedIn	en	Undated first-edition PDF; circa 2021	2021	creator-practitioner LinkedIn monetization guide	confirmed	complete	complete
045969be588fe3e07bab6dd63fa0c138dc744f19cbf103224f76055dee1ed109	Finding Sales Success on LinkedIn	en	First edition	2020	curated practitioner LinkedIn sales anthology	confirmed	complete-with-minor-pdf-parser-warnings	complete
71ccbfdc2e81f20a6f33b344410b38acf9aba9c3f1eec92b8e48da06aee64945	LinkedIn 101: How to Write an Effective LinkedIn Profile & Business Page	en	First edition	2023	practitioner LinkedIn career/recruiting manual	confirmed	complete	complete
56c19d5a917c009135fb47147ca39900b9f883f6bb9f0da1e8301e1c5e90921d	LinkedIn for Business: Mastering the Art of Social Branding	en	First edition	2020	specialist practitioner LinkedIn company-page manual	confirmed	complete	complete
b2426f7e5818dca0ac89549ea1805ed7e5eb20612a8f946c734c9de14ed09556	Google Search Quality Evaluator Guidelines	en	January 23 2025 version	2025	primary Google search-quality rater guideline	confirmed	complete-with-extraction-formatting-caveat	complete
9306dbdfc539589261bdd203e4e5d6b68c0cd650f5e0e7ea171b6fd4a3d421ac	Cashvertising: How to Use More Than 100 Secrets of Ad-Agency Psychology to Make Big Money Selling Anything to Anyone	en	First edition	2009	commercial practitioner direct-response advertising manual	confirmed	complete	complete
21536a06530387355219f70dadc90557147c1628a3e8afb2af809699848f0e22	Content Chemistry: An Illustrated Handbook for Content Marketing	en	First-edition-era text	2012	established practitioner content-marketing manual	confirmed	complete	complete
2ecb1c2c283f26bc5a210ea1a21c60431dbc5aae9debb90785b1e97f835965bb	Everybody Writes: Your New and Improved Go-To Guide to Creating Ridiculously Good Content	en	Second edition	2023	established practitioner writing and content-marketing manual	confirmed	complete	complete
46ccd25699d9c8cda2d36b87f95edf0d666bad1701662a42920e791e1e7d8787	Letting Go of the Words: Writing Web Content That Works	en	Second edition	2012	established practitioner web-content and usability manual	confirmed	complete	complete
6db0d578d8d29fcc40334cf53469755ca1ca3e4cbc020448c1608b6739a2f66b	Nicely Said: Writing for the Web with Style and Purpose	en	First edition	2014	established practitioner web and product-writing manual	confirmed	complete	complete
fdea56a0e7c1f2b11f9492ac145162014e02c4ce21115b2a6f18c90a33ae890c	Microcopy: The Complete Guide — Extended and Updated	en	Second edition	2019	specialist practitioner microcopy and UX-writing manual	confirmed	complete-with-minor-pdf-annotation-warning	complete
853d885525e6d838bb818cd9f94f1a266082125460e33168ab85db8619d41966	Strategic Writing for UX: Drive Engagement, Conversion, and Retention with Every Word	en	First edition	2019	specialist practitioner strategic UX-writing manual	confirmed	complete	complete
9eb36a8e65476d6751ed1f695eba8b3989956a6691563003d1b15c8cbb55b9ca	Don't Make Me Think! A Common Sense Approach to Web Usability	en	Second edition	2006	classic practitioner web-usability manual	confirmed	complete	complete
180feddb6d5397fdf9ac422ec3e2e29c21e11624327f451e52a2026b6131fd96	Making Websites Win: Apply the Customer-Centric Methodology That Has Doubled the Sales of Many Leading Websites	en	First edition	2018	commercial practitioner conversion-optimization manual	confirmed	complete	complete
5b8b94e5385c7022e274d52b03b97ea32cef1d7278af1dcd3a4e77777e8f2616	Seductive Interaction Design: Creating Playful, Fun, and Effective User Experiences	en	First edition	2011	practitioner interaction-design manual	confirmed	full-length-provisional	skipped-by-user
5814e402a5a4c05a7b659be996162d4f9ac1c4275e96d0e00b28ae6af138b0e5	The Elements of Style	en	2011 re-edit by Chris Hong	2011	historical composition manual reedited commercial edition	confirmed	complete	complete
0736d834d443a65e035f13cd95599a3fe7a132432dfeec1a9ff877a8eff3247f	The Adweek Copywriting Handbook: The Ultimate Guide to Writing Powerful Advertising and Marketing Copy from One of America's Top Copywriters	en	First edition	2007	established practitioner direct-response copywriting manual	confirmed	complete	complete
1842c55988bc38bec0a470c2bd20a5474cf6b603ccc4bd9fe26b567a8d33d95d	The Copywriter's Handbook: A Step-by-Step Guide to Writing Copy That Sells	en	Fourth edition	2020	established practitioner multichannel copywriting manual	confirmed	complete	complete
59fb6a435b22e957cef407a5081515a695c7947735a6d6da05fe82b1f3170898	The Science of Storytelling	en	First edition	2019	research-informed popular storytelling synthesis	confirmed	complete	complete
362935e268ad4410c3830f754016e2620aec3f44b142660673e1b20db1e41c4d	Writing That Works: How to Communicate Effectively in Business	en	Third edition	2000	established practitioner business-writing manual	confirmed	complete	complete
dd113e610e3f505990341d7765b358abea01829bb44f4c2423184f073757b4f8	The Catalyst: How to Change Anyone's Mind	en	First edition	2020	research-informed popular behavior-change synthesis	confirmed	complete	complete
6196e48b91b17e2c90909d8feadbefef60a5434655cb143fe2e869e18f7d2afd	Conscious Capitalism: Liberating the Heroic Spirit of Business	en	Paperback with new preface	2014	normative practitioner stakeholder-capitalism framework	confirmed	complete	complete
d676b476b4b195b7627b739bd4d7bcd7e436015503678b77301b73536a80e398	Content Inc.: Start a Content-First Business, Build a Massive Audience, and Become Radically Successful (With Little to No Money)	en	Second edition	2021	established practitioner content-first business framework	confirmed	complete	complete
c79b36d3fc17428ddc7b1868bafee15346c7d5c9449f9ecd6616467080b80a3a	Jab, Jab, Jab, Right Hook: How to Tell Your Story in a Noisy Social World	en	First edition	2013	commercial practitioner social-media marketing manual	confirmed	complete	complete
ce5e0ff52e75587ae28bad629533a1e38007e4bafdb3c16a6e0d1f5708c25a9f	Start with Why: How Great Leaders Inspire Everyone to Take Action	en	Fifteenth-anniversary edition	2025	popular practitioner purpose and leadership framework	confirmed	complete	complete
92a64617c4c78fd795e09bda288fe183d8c32ca22b18efae3ffd265a41be47a0	The Brand Gap: How to Bridge the Distance Between Business Strategy and Design	en	Revised edition	2006	established practitioner brand-design framework	confirmed	complete	complete
171925252d08e9d0d627d98141dac64ae7e4bd389f898db36ea276f8108db889	The Hero and the Outlaw: Building Extraordinary Brands Through the Power of Archetypes	en	Original-edition text in 2015 ebook	2001	Jungian practitioner archetypal-branding framework	confirmed	complete	complete
3ad3d72d10b85e970d1596b7ee9774f161210989737ccd55404b864b5b53be65	They Ask, You Answer: A Revolutionary Approach to Inbound Sales, Content Marketing, and Today's Digital Consumer	en	Revised and updated edition	2019	commercial practitioner inbound-sales and content framework	confirmed	complete	complete
027d0d05ee11780dbef0922f770753b3ee60fce043afbd05272476a8e53d724b	Value Proposition Design: How to Create Products and Services Customers Want	en	First edition	2014	popular practitioner value-proposition and business-model framework	confirmed	complete	complete
b6ceb2a855468b55cffa5999c5c84648173b376e32892e71da9a203f9b63891e	LinkedIn: Social Selling Strategies to Generate Leads on LinkedIn	en	Copyright 2024, no edition stated	2024	low-authority commercial compiled LinkedIn guide	confirmed	complete	complete
3e53fd1264395963d8194be42b66a02f1755255c58b8a6a8a80050e5bbdf2e16	Nudge: Improving Decisions About Health, Wealth, and Happiness	en	First edition	2008	research-informed popular behavioral-economics and policy synthesis	confirmed	complete	complete
e61594d2b4edff8166a2da999733751bc56708876a055a53d4a51aedc32bf372	Contagious: Why Things Catch On	en	First edition	2013	research-informed popular word-of-mouth framework	confirmed	complete	complete
f9eaa69932a8c9d903871a1a4655004af5191cf967f17c78583fac1a886beb9e	Oversubscribed: How to Get People Lining Up to Do Business with You	en	Second edition	2020	commercial practitioner demand-campaign framework	confirmed	complete	complete
d19a4888753854a502a327041bb4fbbb2689ad76df5c690acb6947d8c5d19d7e	Launch: An Internet Millionaire's Secret Formula to Sell Almost Anything Online, Build a Business You Love, and Live the Life of Your Dreams	en	First edition	2014	commercial practitioner online-launch playbook	confirmed	complete	complete
c8967eaf1edebdeaa27b1ff2be786e662533538c54fe8d44fb2f928e98a1c28b	Never Split the Difference: Negotiating as If Your Life Depended on It	en	First edition	2016	expert practitioner negotiation framework	confirmed	complete	complete
02f47a58aeb02bb3b5a7cd6978f380c01e3f544f6ecaea7597648d6d65293c69	SPIN Selling	en	Original 1988 text in 2017 ebook	1988	research-derived practitioner complex-sales framework	confirmed	complete	complete
235aefa96f7e44c62ab9d67a9f307db838fa50bbc61738eacd07c3537fbdb2de	Cracking the Sales Management Code: The Secrets to Measuring and Managing Sales Performance	en	First edition	2012	research-informed practitioner sales-management framework	confirmed	complete	complete
46a6e2b83a8fc533fb9efe864c03a29b9b205b4707fc21dffb173f47806db4b5	Exactly What to Say: The Magic Words for Influence and Impact	en	First edition	2017	low-to-moderate-authority commercial practitioner phrasebook	confirmed	complete	complete
662171fc588dce0cb3624d567f919a4829ee835130243fdcbc2db784b4412b66	Fanatical Prospecting: The Ultimate Guide for Starting Sales Conversations and Filling the Pipeline	en	First edition	2015	commercial practitioner multichannel prospecting playbook	confirmed	complete	complete
a690a405ce36507e913eb22fdb9cc9bb7b55da4e382b1acbd5132fa53dc01016	Gap Selling: Getting the Customer to Yes	en	First edition	2018	commercial practitioner problem-centric sales method	confirmed	complete	complete
f060fe19091e8a9171d85d11f44b21433953f73f380912d18fdd5760f16d065e	How to Get a Meeting with Anyone	en	First edition	2016	commercial practitioner contact-marketing playbook	confirmed	complete	complete
8f62e9d57294b7b31c6a049a85426fe6ab4059d3ce365f5e117bf90abb60e4e1	Insight Selling	en	First edition	2014	research-informed commercial sales framework	confirmed	complete	complete
3692336264507e921c6a2c6a354b7a55c7a182cb71e2c733be87e9d86741f358	Outbound Sales, No Fluff	en	Original practitioner edition	not stated	concise commercial practitioner outbound playbook	confirmed	complete	complete
5021dc87acb1203ec723c348d60d6a43871891f9d2116a44e2b10d169f0d6680	Secrets of Question-Based Selling	en	Second edition	2013	commercial practitioner question-based sales method	confirmed	complete	complete
184e29ba161b28d7d6ff3d7bf2108b26c17cab97cac570c5c15646e23d43dfd2	Solution Selling: Creating Buyers in Difficult Selling Markets	en	First edition	1995	foundational commercial practitioner complex-sales method	confirmed	complete	complete
c2e7569d3e1e8464c97525de751ec8b36f5d43c97bb2d7f4320dd654290c3ad5	The Challenger Sale	en	First edition	2011	proprietary-research-informed commercial sales framework	confirmed	complete	complete
861f4f50cb3bcf19ae6020a60638508514e71c548b10266b562727ccee479b4d	The Collaborative Sale	en	First edition	2014	research-informed commercial collaborative-sales framework	confirmed	complete	complete
fadc41e87a919c52da88f2ef4ad8af4cb8af3784af9e39b8bf45b0103c95bfc3	The New Strategic Selling	en	Revised edition	1998	foundational commercial practitioner strategic-sales method	confirmed	complete	complete
d970e4e5b49f4650f8d8c47ed5c4d5f78d38e28cbcfea19470b4eb6594c49ff6	The Perfect Close	en	First edition	2016	research-informed commercial practitioner closing method	confirmed	complete	complete
3367d0d83f0e32e2505621430db83774c9ecf27a612bc865eb38f6e5727cd28e	The Science of Selling	en	First edition	2016	research-citing commercial practitioner sales synthesis	confirmed	complete	complete
d4831c9fcb7a55564ad2c12b17f658ac888c3f943229c94dd910a36fcf939451	The Neuroscience of Selling	en	First edition	2019	low-to-moderate-authority commercial neuroscience sales synthesis	confirmed	complete	complete
72c294625ca6b10e36b8dc1e5935ffb7cf8ef2361f4430c9f1899d1154c7e67d	To Sell Is Human: The Surprising Truth About Moving Others	en	First edition	2012	research-informed popular behavioral-business synthesis	confirmed	complete	complete
799a39247f532ed2ddd5196d0295d9e0d67871d17eb5aa25edb050d8697de7f9	Content Design	en	First edition	2017	expert practitioner public-service content-design method	confirmed	complete	complete
21d0782387b638c06562ca2e149fd9dd0a9b0d58969a8903c2ba1b97963f1997	Garner's Modern English Usage	en	Fifth edition	2022	authoritative professional usage reference	confirmed	complete	complete
0b232fb3a6c26801c9090c383d4ae38eac3126b0d7f170a8448473eeaacdb026	On Writing Well	en	30th Anniversary / seventh edition	2006	canonical expert-practitioner nonfiction craft guide	confirmed	complete	complete
f1276d2de49db482e8d4f7178afca82848326a14b21ced45347613951201a9cf	Stein on Writing	en	First edition	1995	expert editor-practitioner writing craft guide	confirmed	complete	complete
e87c92b0a9986433e747e72a245a82f13bdb7cadca782a26ae254dcbb25c4da0	Storytelling with Data	en	First edition	2015	expert practitioner data-communication framework	confirmed	complete	complete
ded67922ea97dfa4757f6e84a38226ab0b143b33989a14fa3ef3ae84b6ff2b2d	Style: Lessons in Clarity and Grace	en	Eleventh edition	2014	scholarly professional writing-style textbook	confirmed	complete	complete
e83f45cb5c8e93ec2182abd1e942bb93a9f415e65df853165df0267c889f349f	The Copyeditor's Workbook	en	First edition	2019	authoritative professional copyediting workbook	confirmed	complete	complete
8158f968d71c01edad962adcdee4f88ba9c6be18450e483cbf578dc140dfde48	The Elements of Style: Classic Edition	en	2018 expanded edition	2018	historical style guide modernized commercial edition	confirmed	complete	complete
5ca03bb61e89f6d72cbcabceba9a47a46b4d9fddb38efe3467af7d6af98eec69	The Sense of Style: The Thinking Person's Guide to Writing in the 21st Century	en	First edition	2014	research-informed cognitive-linguistics style guide	confirmed	complete	complete
8ac5c347c21a30d025ab086a090c2cab8b182b5f6889764c5db60b8dff044bf5	The Story Grid: What Good Editors Know	en	First Black Irish Entertainment edition	2015	expert-practitioner commercial story-editing framework	confirmed	complete	complete
32cb21874a905ad040bc28ebf6ce1d2768d3711aa74e0da305a2a1a7c313e70a	The Well-Crafted Sentence: A Writer's Guide to Style	en	First edition	2009	scholarly-practitioner rhetorical-grammar textbook	confirmed	complete	complete
011c501d92647105689076c4e7124da4728b6b628ac12063032c0e6ecbf19235	The Writer's Journey: Mythic Structure for Writers	en	Third edition	2007	influential practitioner mythic-story framework	confirmed	complete	complete
aa6ddbd5ed6fa1c1c64437e85b24af80057921e96cb2419005329d985a5f1b0c	The Writer's Mindset: A Rhetorical Guide to Reading, Writing, and Arguing	en	First edition	2022	comprehensive college rhetoric-composition textbook	confirmed	complete	complete
b99e1ba0a7dbfae24075363e3049c52e766663fcd7cd4908a1cfa625aa05c91d	Writing Is Designing: Words and the User Experience	en	First edition	2019	expert-practitioner UX-writing content-design guide	confirmed	complete	complete
92f3f8138c56cc4e09e01caa6241265e5ccbc5249ef274087cc32f23f939d609	Writing Tools: 55 Essential Strategies for Every Writer	en	Tenth anniversary edition	2016	expert-practitioner writing-craft toolkit	confirmed	complete	complete
b179eaca65366e8dd8ea23d8a351cb99c3867b13c55421132b1664cb7329e8f1	Writing for Busy Readers: Communicate More Effectively in the Real World	en	First edition	2023	research-informed practitioner effective-writing guide	confirmed	complete	complete
2990232b2a0c1357c0dd976caf36d44fceadd1dba8f32edf1bcb993820b9c33f	Write Useful Books: A Modern Approach to Designing and Refining Recommendable Nonfiction	en	First edition	2021	expert-practitioner reader-tested nonfiction guide	confirmed	complete	complete
8cafede9299971b9aa50c69434be70ef8a87970e5be296bc1a358fca2f769953	Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs	en	First edition	2018	influential expert-practitioner OKR management guide	confirmed	complete	complete
38c566ad25d49b0e8aeaa301bfb26cafb5f6bf63a1d9e30f4757efe61e8725c5	Scaling Up: How a Few Companies Make It...and Why the Rest Don't	en	First edition	2014	influential expert-practitioner growth-management toolkit	confirmed	complete	complete
62ffb0b450b4ffa10ea40254938b2fec4fca5d54331acf33682304a95f80462a	Conquer the Chaos: The Six Keys to Success for Entrepreneurs	en	Second edition	2024	commercial expert-practitioner small-business operating guide	confirmed	complete	complete
91d256834212e460cb8f4434baa6082aaada1b85b7f71315c2eb3828cabeae8e	Built for People: Transform Your Employee Experience Using Product Management Principles	en	First edition	2023	expert-practitioner people-operations product-management guide	confirmed	complete	complete
f1caa49b4797b1cb8bcd257ce4fef5dfff3a0b77aaf9ce2267e6df91118ded16	Built to Last: Successful Habits of Visionary Companies	en	Updated paperback edition	2002	influential comparative historical practitioner management study	confirmed	complete	complete
7710354b6172976ccccb1e4be1615ff9b72a6834a81e3d34f5ee6798fe46594c	First, Break All the Rules: What the World's Greatest Managers Do Differently	en	Updated Gallup Press edition	2013	proprietary-research-informed practitioner management framework	confirmed	complete	complete
6db096b895907196f88efe940ef1136513d22b0445bf031b59e1a115cfe2a8f8	Herding Tigers: Be the Leader That Creative People Need	en	First edition	2018	expert-practitioner creative-leadership guide	confirmed	complete	complete
b123f6d52eedbd43d31efa41adba79330d73055f540a441fa262cdbea68321c1	Radical Candor: How to Be a Kick-Ass Boss Without Losing Your Humanity	en	First edition	2017	influential expert-practitioner management framework	confirmed	complete	complete
8667b85f68935668d1624eb152b03986923f5d30b42279bd8b29f9c385807b10	Remote, Not Distant: Design a Company Culture That Will Help You Thrive in a Hybrid Workplace	en	First edition	2022	research-informed expert-practitioner hybrid-culture guide	confirmed	complete	complete
93dacf5f3868d2381179d308f5c156819332872a88ab186b799a79edc3cbb958	The McKinsey Way: Using the Techniques of the World's Top Strategic Consultants to Help You and Your Business	en	First edition	1999	influential alumni-practitioner consulting-method guide	confirmed	complete	complete
993559b04c4bd2fda47ce5543df07cf439b0615b208e5da2b769b49f2013fddd	An MBA in a Book: Everything You Need to Know to Master Business—in One Book!	en	First edition	2023	broad practitioner business-education primer	confirmed	complete	complete
d706b841e54aa64ea24286e1e5363840ecad9c04e9deab556c90e8a19311bc93	The 12-Week MBA: Learn the Skills You Need to Lead in Business Today	en	First edition	2024	research-informed commercial practitioner business-acumen and leadership primer	confirmed	complete	complete
fee85761c940c9341c480ed0844bafbd225234ebc679cc78b193dcb528137a62	The Real-Life MBA: Your No-BS Guide to Winning the Game, Building a Team, and Growing Your Career	en	First edition	2015	influential executive-practitioner management guide	confirmed	complete	complete
55f2210e0de0ba37e9942ae3d5c8a9393061a74c82685f16e1ab7289c913f63d	Trade-Off: Why Some Things Catch On, and Others Don't	en	First edition	2009	influential journalist-practitioner strategy framework	confirmed	complete	complete
da03061b94d175fd072df078eab5c3a217610e69bcbfcd26a38b97fa46da4623	Value-Based Fees: How to Charge—and Get—What You're Worth: A Guide for Consultants	en	Second edition	2008	influential commercial expert-practitioner consulting pricing guide	confirmed	complete	complete
49212355bfd8809d263ded05a000a2cd18a0c688b26e334230f1da7cee3d9f79	The Seven Figure Agency Roadmap: How to Build a Million Dollar Digital Marketing Agency	en	First edition	2019	commercial expert-practitioner digital-agency growth guide	confirmed	complete	complete
2e68b462df7beed759da7b45351acc2d0a6a152f438518e0f403cdce7e3c4f5f	Mindset: Changing the Way You Think to Fulfil Your Potential	en	Revised UK edition	2017	research-informed scholar-authored popular-psychology synthesis	confirmed	complete	complete
